       slice  precision  recall  fbeta  size
   Bachelors      1.000   0.000  0.000  5355
     HS-grad      1.000   0.000  0.000 10501
        11th      1.000   0.000  0.000  1175
     Masters      1.000   0.000  0.000  1723
         9th      1.000   0.000  0.000   514
Some-college      1.000   0.000  0.000  7291
  Assoc-acdm      1.000   0.000  0.000  1067
   Assoc-voc      1.000   0.000  0.000  1382
     7th-8th      1.000   0.000  0.000   646
   Doctorate      1.000   0.000  0.000   413
 Prof-school      1.000   0.000  0.000   576
     5th-6th      1.000   0.000  0.000   333
        10th      1.000   0.000  0.000   933
     1st-4th      1.000   0.000  0.000   168
   Preschool      1.000   1.000  1.000    51
        12th      1.000   0.000  0.000   433
